origin_id,origin_title,origin_state,origin_lat,origin_lon,depth,download_timeout,download_slot,download_latency,destination_id,destination_title,destination_state,destination_lat,destination_lon,currency,date,price
968,Баден-Баден,DE,48.78959117323186,8.191477060317993,3,180.0,booking.ecolines.net,0.4850919246673584,228,Остров-мазовецка,PL,52.800017787104956,21.896953932540782,31,1517270400000,3125.00
39,Дортмунд,DE,51.51980895983886,7.45896577835083,3,180.0,booking.ecolines.net,0.8561744689941406,213,Валмиера,LV,57.539013706133616,25.419069528579712,31,1517529600000,3813.00
39,Дортмунд,DE,51.51980895983886,7.45896577835083,3,180.0,booking.ecolines.net,0.8548827171325684,213,Валмиера,LV,57.539013706133616,25.419069528579712,31,1517356800000,3813.00
39,Дортмунд,DE,51.51980895983886,7.45896577835083,3,180.0,booking.ecolines.net,1.0045738220214844,213,Валмиера,LV,57.539013706133616,25.419069528579712,31,1517011200000,3813.00
39,Дортмунд,DE,51.51980895983886,7.45896577835083,3,180.0,booking.ecolines.net,1.0253324508666992,213,Валмиера,LV,57.539013706133616,25.419069528579712,31,1515801600000,3813.00
39,Дортмунд,DE,51.51980895983886,7.45896577835083,3,180.0,booking.ecolines.net,1.1880316734313965,213,Валмиера,LV,57.539013706133616,25.419069528579712,31,1516579200000,3813.00
39,Дортмунд,DE,51.51980895983886,7.45896577835083,3,180.0,booking.ecolines.net,0.8778889179229736,213,Валмиера,LV,57.539013706133616,25.419069528579712,31,1516320000000,3813.00
39,Дортмунд,DE,51.51980895983886,7.45896577835083,3,180.0,booking.ecolines.net,0.9618523120880127,213,Валмиера,LV,57.539013706133616,25.419069528579712,31,1517616000000,3813.00
41,Дуйсбург,DE,51.42829245555537,6.771258034918219,3,180.0,booking.ecolines.net,0.9948275089263916,218,Ровно,UA,50.614968,26.28281400000003,31,1515801600000,1347.00
41,Дуйсбург,DE,51.42829245555537,6.771258034918219,3,180.0,booking.ecolines.net,1.039466142654419,218,Ровно,UA,50.614968,26.28281400000003,31,1516579200000,1347.00
39,Дортмунд,DE,51.51980895983886,7.45896577835083,3,180.0,booking.ecolines.net,1.8343777656555176,216,Тарту,EE,58.37823414896435,26.732134222984314,31,1516579200000,4094.00
