origin_airport,origin_title,origin_state,origin_lat,origin_lon,destination_airport,destination_title,destination_state,destination_lat,destination_lon,departureDate,price,currencyCode
DTM,Dortmund,DE,51.516666666666666,7.6,VAR,Varna (Black Sea),BG,43.231944444444444,27.825,2018-01-13T00:00:00,69.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,VAR,Varna (Black Sea),BG,43.231944444444444,27.825,2018-01-16T00:00:00,54.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,VAR,Varna (Black Sea),BG,43.231944444444444,27.825,2018-01-20T00:00:00,34.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,VAR,Varna (Black Sea),BG,43.231944444444444,27.825,2018-01-23T00:00:00,14.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,VAR,Varna (Black Sea),BG,43.231944444444444,27.825,2018-01-27T00:00:00,34.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,VAR,Varna (Black Sea),BG,43.231944444444444,27.825,2018-01-30T00:00:00,22.49,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,VAR,Varna (Black Sea),BG,43.231944444444444,27.825,2018-02-03T00:00:00,27.49,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,TZL,Tuzla,BA,44.45861111111111,18.72472222222222,2018-01-10T00:00:00,59.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,TZL,Tuzla,BA,44.45861111111111,18.72472222222222,2018-01-12T00:00:00,49.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,TZL,Tuzla,BA,44.45861111111111,18.72472222222222,2018-01-15T00:00:00,34.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,TZL,Tuzla,BA,44.45861111111111,18.72472222222222,2018-01-17T00:00:00,49.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,TZL,Tuzla,BA,44.45861111111111,18.72472222222222,2018-01-19T00:00:00,44.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,TZL,Tuzla,BA,44.45861111111111,18.72472222222222,2018-01-22T00:00:00,54.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,TZL,Tuzla,BA,44.45861111111111,18.72472222222222,2018-01-24T00:00:00,34.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,TZL,Tuzla,BA,44.45861111111111,18.72472222222222,2018-01-26T00:00:00,54.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,TZL,Tuzla,BA,44.45861111111111,18.72472222222222,2018-01-29T00:00:00,29.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,TZL,Tuzla,BA,44.45861111111111,18.72472222222222,2018-01-31T00:00:00,22.49,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,TZL,Tuzla,BA,44.45861111111111,18.72472222222222,2018-02-02T00:00:00,24.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,BEG,Belgrade,RS,44.81916666666667,20.31222222222222,2018-01-10T00:00:00,189.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,BEG,Belgrade,RS,44.81916666666667,20.31222222222222,2018-01-14T00:00:00,89.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,BEG,Belgrade,RS,44.81916666666667,20.31222222222222,2018-01-17T00:00:00,44.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,BEG,Belgrade,RS,44.81916666666667,20.31222222222222,2018-01-21T00:00:00,39.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,BEG,Belgrade,RS,44.81916666666667,20.31222222222222,2018-01-24T00:00:00,34.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,BEG,Belgrade,RS,44.81916666666667,20.31222222222222,2018-01-28T00:00:00,29.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,BEG,Belgrade,RS,44.81916666666667,20.31222222222222,2018-01-31T00:00:00,29.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,BEG,Belgrade,RS,44.81916666666667,20.31222222222222,2018-02-04T00:00:00,59.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,RIX,Riga,LV,56.92361111111111,23.97111111111111,2018-01-10T00:00:00,49.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,RIX,Riga,LV,56.92361111111111,23.97111111111111,2018-01-14T00:00:00,34.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,RIX,Riga,LV,56.92361111111111,23.97111111111111,2018-01-17T00:00:00,19.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,RIX,Riga,LV,56.92361111111111,23.97111111111111,2018-01-21T00:00:00,49.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,RIX,Riga,LV,56.92361111111111,23.97111111111111,2018-01-24T00:00:00,24.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,RIX,Riga,LV,56.92361111111111,23.97111111111111,2018-01-28T00:00:00,34.99,EUR
DTM,Dortmund,DE,51.516666666666666,7.6,RIX,Riga,LV,56.92361111111111,23.97111111111111,2018-01-31T00:00:00,22.49,EUR
